Date,ExchangeRate,CurrencyCode
2023-02-24,8.2959,HKD
2023-02-24,0.9898,CHF
2023-02-24,7.4438,DKK
2023-02-24,3.8916,ILS
2023-02-24,7.3398,CNY
2023-02-24,16098.1700,IDR
2023-02-24,0.8824,GBP
2023-02-24,152.7000,ISK
2023-02-24,5.4633,BRL
2023-02-24,1.4374,CAD
2023-02-24,1.9558,BGN
2023-02-24,87.4845,INR
2023-02-25,1.9558,BGN
2023-02-25,380.6000,HUF
2023-02-25,3.8916,ILS
2023-02-25,5.4633,BRL
2023-02-25,23.6430,CZK
2023-02-25,16098.1700,IDR
2023-02-25,87.4845,INR
2023-02-25,7.3398,CNY
2023-02-25,152.7000,ISK
2023-02-25,0.9898,CHF
2023-02-25,0.8824,GBP
2023-02-25,1.4374,CAD
2023-02-25,8.2959,HKD
2023-02-25,1.5668,AUD
2023-02-25,7.4438,DKK
2023-02-26,1.5668,AUD
2023-02-26,3.8916,ILS
2023-02-26,152.7000,ISK
2023-02-26,0.9898,CHF
2023-02-26,0.8824,GBP
2023-02-26,16098.1700,IDR
2023-02-26,1.4374,CAD
2023-02-26,7.3398,CNY
2023-02-26,7.4438,DKK
2023-02-26,5.4633,BRL
2023-02-26,23.6430,CZK
2023-02-26,380.6000,HUF
2023-02-26,1.9558,BGN
2023-02-26,8.2959,HKD
2023-02-26,87.4845,INR
2023-02-27,3.8742,ILS
2023-02-27,7.3378,CNY
2023-02-27,5.4848,BRL
2023-02-27,152.3000,ISK
2023-02-27,0.9929,CHF
2023-02-27,1.5739,AUD
2023-02-27,23.6190,CZK
2023-02-27,7.4426,DKK
2023-02-27,1.4334,CAD
2023-02-27,0.8807,GBP
2023-02-27,16119.6900,IDR
